date,implied_gotrade_fx,scaled_php_amount,normalized_weight_pct,scaled_usd_credited
2021-09-02,50.426100549644495,4152.249134948097,1.384083044982699,82.3432525951557
2021-09-02,50.395605503200116,4152.249134948097,1.384083044982699,82.39307958477508
2021-10-03,51.42445747197367,8304.498269896194,2.768166089965398,161.48927335640138
2021-10-26,51.46272910811132,5397.923875432526,1.799307958477509,104.88996539792387
2021-11-04,51.4588586425153,8304.498269896194,2.768166089965398,161.38131487889274
2021-12-04,51.255766273705795,8304.498269896194,2.768166089965398,162.02076124567472
2022-01-04,51.73305742369374,8304.498269896194,2.768166089965398,160.52595155709344
2022-01-25,52.08197703184813,8304.498269896194,2.768166089965398,159.45051903114185
2022-03-03,52.29305025362129,12456.74740484429,4.1522491349480966,238.2103806228374
2022-03-29,52.70369979972594,16608.996539792388,5.536332179930796,315.13910034602077
2022-05-04,53.23538023370332,16608.996539792388,5.536332179930796,311.9916955017301
2022-06-02,54.545938323178035,17024.221453287195,5.674740484429066,312.10795847750865
2022-07-08,56.832712909550736,16608.996539792388,5.536332179930796,292.24359861591694
2022-08-18,56.67649059170256,16608.996539792388,5.536332179930796,293.0491349480969
2023-03-04,55.46311702717692,1660.8996539792386,0.5536332179930795,29.946020761245673
2023-04-21,56.68934240362811,3114.1868512110723,1.0380622837370241,54.93425605536332
2023-06-20,56.49079200090385,8304.498269896194,2.768166089965398,147.0062283737024
2023-07-06,56.58882559323952,6228.373702422145,2.0761245674740483,110.0636678200692
2023-08-04,56.578686808679166,8304.498269896194,2.768166089965398,146.77785467128027
2023-09-03,57.80680964217584,8304.498269896194,2.768166089965398,143.65951557093425
2023-10-07,57.71006463527239,8304.498269896194,2.768166089965398,143.90034602076125
2023-11-20,56.384088410250634,8304.498269896194,2.768166089965398,147.28442906574392
2023-12-19,56.77624481916766,8304.498269896194,2.768166089965398,146.26712802768165
2024-01-19,56.87311607802991,8304.498269896194,2.768166089965398,146.01799307958478
2024-02-20,57.0027931368637,8304.498269896194,2.768166089965398,145.68581314878892
2024-03-20,56.83594305038507,8304.498269896194,2.768166089965398,146.11349480968858
2024-04-19,58.22981366459627,12456.74740484429,4.1522491349480966,213.92387543252596
2024-05-21,59.14826498422713,12456.74740484429,4.1522491349480966,210.60207612456745
2024-07-22,59.44419676029128,8304.498269896194,2.768166089965398,139.7024221453287
2024-09-20,56.72149744753261,16608.996539792388,5.536332179930796,292.8166089965398
2025-09-15,58.156440825821456,13287.197231833909,4.429065743944636,228.47335640138408
