month,selected_date,target_day,day_used,usd_php,selection,source
2020-09,2020-09-18,20,18,48.4540,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2020-10,2020-10-20,20,20,48.5780,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2020-11,2020-11-20,20,20,48.2790,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2020-12,2020-12-18,20,18,48.0590,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-01,2021-01-20,20,20,48.0690,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-02,2021-02-19,20,19,48.4050,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-03,2021-03-19,20,19,48.6730,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-04,2021-04-20,20,20,48.3990,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-05,2021-05-20,20,20,47.8300,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-06,2021-06-18,20,18,48.3680,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-07,2021-07-19,20,19,50.2030,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-08,2021-08-20,20,20,50.5130,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-09,2021-09-20,20,20,49.9730,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-10,2021-10-20,20,20,50.7550,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-11,2021-11-19,20,19,50.3030,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2021-12,2021-12-20,20,20,49.9640,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-01,2022-01-20,20,20,51.4580,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-02,2022-02-18,20,18,51.2880,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-03,2022-03-18,20,18,52.1670,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-04,2022-04-20,20,20,52.3810,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-05,2022-05-20,20,20,52.3900,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-06,2022-06-20,20,20,53.5510,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-07,2022-07-20,20,20,56.3350,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-08,2022-08-19,20,19,55.8560,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-09,2022-09-20,20,20,57.3630,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-10,2022-10-20,20,20,58.8870,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-11,2022-11-18,20,18,57.4510,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2022-12,2022-12-20,20,20,55.4390,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
