date,scaled_usd_credited,bsp_usd_php,scaled_bsp_php_equivalent,scaled_php_paid,implied_gotrade_fx,estimated_spread_pct,scaled_estimated_spread_php
2021-09-02,82.3432525952,50.1421363636,4128.8666002487,4152.2491349481,50.426100549644495,0.005663184830924539,23.3825346994
2021-09-02,82.3930795848,50.1421363636,4131.3650319567,4152.2491349481,50.395605503200116,0.005055012769342504,20.8841029914
2021-10-03,161.4892733564,50.7491428571,8195.4422034533,8304.4982698962,51.42445747197367,0.013306916666065316,109.0560664429
2021-10-26,104.8899653979,50.7491428571,5323.0758382555,5397.9238754325,51.46272910811132,0.014061050312133228,74.8480371770
2021-11-04,161.3813148789,50.35705,8126.6869424221,8304.4982698962,51.4588586425153,0.02187992828244112,177.8113274740
2021-12-04,162.0207612457,50.2478095238,8141.1883499737,8304.4982698962,51.255766273705795,0.02005971522854888,163.3099199225
2022-01-04,160.5259515571,51.2352857143,8224.5929925876,8304.4982698962,51.73305742369374,0.009715408091396815,79.9052773086
2022-01-25,159.4505190311,51.2352857143,8169.4928998540,8304.4982698962,52.08197703184813,0.016525550814129986,135.0053700422
2022-03-03,238.2103806228,52.0739565217,12404.5570035712,12456.7474048443,52.29305025362129,0.004207357123517053,52.1904012730
2022-03-29,315.1391003460,52.0739565217,16410.5398097063,16608.9965397924,52.70369979972594,0.012093248143407731,198.4567300860
2022-05-04,311.9916955017,52.36175,16336.4311619377,16608.9965397924,53.23538023370332,0.016684511761033916,272.5653778547
2022-06-02,312.1079584775,53.5685454545,16719.1693604136,17024.2214532872,54.545938323178035,0.01824564882965163,305.0520928736
2022-07-08,292.2435986159,55.8925238095,16334.2322938141,16608.9965397924,56.832712909550736,0.016821374952671775,274.7642459783
2022-08-18,293.0491349481,55.7500952381,16337.5171827992,16608.9965397924,56.67649059170256,0.01661692862848163,271.4793569932
2023-03-04,29.9460207612,54.7955652174,1640.9091336245,1660.8996539792,55.46311702717692,0.012182588264733285,19.9905203548
2023-04-21,54.9342560554,55.3155,3038.7158408305,3114.1868512111,56.68934240362811,0.02483648170274355,75.4710103806
2023-06-20,147.0062283737,55.89455,8216.8469821453,8304.4982698962,56.49079200090385,0.01066726542934604,87.6512877509
2023-07-06,110.0636678201,54.92105,6044.8122035294,6228.3737024221,56.58882559323952,0.03036678274067084,183.5614988927
2023-08-04,146.7778546713,56.1598571429,8243.0233500804,8304.4982698962,56.578686808679166,0.0074578121648964935,61.4749198158
2023-09-03,143.6595155709,56.7869,8157.9785447751,8304.4982698962,57.80680964217584,0.017960297923919732,146.5197251211
2023-10-07,143.9003460208,56.7888571429,8171.9361929869,8304.4982698962,57.71006463527239,0.01622162407766581,132.5620769093
2023-11-20,147.2844290657,55.8122105263,8220.2695622632,8304.4982698962,56.384088410250634,0.01024646539812557,84.2287076330
2023-12-19,146.2671280277,55.5876666667,8130.6483570983,8304.4982698962,56.77624481916766,0.021382047920706748,173.8499127979
2024-01-19,146.0179930796,55.9722727273,8172.9589317435,8304.4982698962,56.87311607802991,0.016094457252412653,131.5393381527
2024-02-20,145.6858131488,56.0649,8167.8605456055,8304.4982698962,57.0027931368637,0.016728704356267388,136.6377242907
2024-03-20,146.1134948097,55.8492631579,8160.3310225468,8304.4982698962,56.83594305038507,0.017666838140647956,144.1672473494
2024-04-19,213.9238754325,56.95055,12183.0823640138,12456.7474048443,58.22981366459627,0.02246270957165941,273.6650408304
2024-05-21,210.6020761246,57.7618636364,12164.7684026500,12456.7474048443,59.14826498422713,0.02400201898876153,291.9790021943
2024-07-22,139.7024221453,58.4844782609,8170.4232709536,8304.4982698962,59.44419676029128,0.016409798427370115,134.0749989426
2024-09-20,292.8166089965,56.0712857143,16418.6037449375,16608.9965397924,56.72149744753261,0.011596162366342755,190.3927948549
2025-09-15,228.4733564014,57.2500909091,13080.1204242864,13287.1972318339,58.156440825821456,0.015831414454180237,207.0768075475
